# z calib_ratio calib_ratio_err
5.000000000000000278e-02 9.936788359114869795e-01 9.170274309395416365e-03
1.000000000000000056e-01 9.911516210507389513e-01 1.284981350080543518e-02
1.500000000000000222e-01 9.916461389264878967e-01 1.545403183540603083e-02
2.000000000000000111e-01 9.915674994446521673e-01 1.795920079682829587e-02
2.500000000000000000e-01 9.914245147907403410e-01 2.011927930878762080e-02
2.999999999999999889e-01 9.900641909884226877e-01 2.101928721751885124e-02
3.500000000000000333e-01 9.900931166312004761e-01 2.009317603814818678e-02
4.000000000000000222e-01 9.946553395917454576e-01 1.952715124394826390e-02
4.500000000000000111e-01 1.000562540421224389e+00 1.969211354031110903e-02
5.000000000000000000e-01 1.004364702292574130e+00 2.056711248745842630e-02
5.500000000000000444e-01 1.000508892557556928e+00 2.108956121704207501e-02
6.000000000000000888e-01 9.891039972237890554e-01 2.236997716605336819e-02
6.500000000000001332e-01 9.760192640895923866e-01 2.325184182736711458e-02
7.000000000000000666e-01 9.580101489257211167e-01 2.510118113980992077e-02
7.500000000000001110e-01 9.303185473586512710e-01 2.890082809408927450e-02
8.000000000000000444e-01 8.948945474767149300e-01 3.387692856799716379e-02
